"Taxon";"Occurrence.taxa";"Prevalence";"Prevalence.NoDisp";"Taxonomic.level";"Missing.values"
"Chironomidae";"Occurrence.Chironomidae";1;1;"family";0
"Simuliidae";"Occurrence.Simuliidae";0.360085227272727;0.360085227272727;"family";0
"Limoniidae";"Occurrence.Limoniidae";0.681818181818182;0.681818181818182;"family";0
"Baetisrhodani";"Occurrence.Baetisrhodani";0.943892045454545;0.943892045454545;"species";0
"Baetisalpinus";"Occurrence.Baetisalpinus";0.246448863636364;0.252915451895044;"species";0
"Empididae";"Occurrence.Empididae";0;0;"family";0
"Ceratopogonidae";"Occurrence.Ceratopogonidae";0.588068181818182;0.588068181818182;"family";0
"Elmidae";"Occurrence.Elmidae";0.895596590909091;0.936154417223459;"family";0
"Nemouramortoni";"Occurrence.Nemouramortoni";0.161221590909091;0.2;"species";0
"Baetismuticus";"Occurrence.Baetismuticus";0.291193181818182;0.291193181818182;"species";0
"Drususdiscolor";"Occurrence.Drususdiscolor";0.00994318181818182;0.017156862745098;"species";0
"Protonemuralateralis";"Occurrence.Protonemuralateralis";0.0674715909090909;0.116421568627451;"species";0
"Athericidae";"Occurrence.Athericidae";0;0;"family";0
"Gammaridae";"Occurrence.Gammaridae";0.607244318181818;0.658705701078582;"family";0
"Rhyacophilatristis";"Occurrence.Rhyacophilatristis";0.0163352272727273;0.0163352272727273;"species";0
"Planariidae";"Occurrence.Planariidae";0;0;"family";0
"Leuctrabraueri";"Occurrence.Leuctrabraueri";0.164772727272727;0.216014897579143;"species";0
"Nemouraminima";"Occurrence.Nemouraminima";0.130681818181818;0.171322160148976;"species";0
"Hydraenidae";"Occurrence.Hydraenidae";0.897017045454545;0.897017045454545;"family";0
"Ecdyonurushelveticus";"Occurrence.Ecdyonurushelveticus";0.146306818181818;0.181497797356828;"species";0
"Sericostoma";"Occurrence.Sericostoma";0.0504261363636364;0.052709725315516;"genus";0
"Habroleptoidesconfusa";"Occurrence.Habroleptoidesconfusa";0.207386363636364;0.216778025241277;"species";0
"Scirtidae";"Occurrence.Scirtidae";0.361505681818182;0.377876763177431;"family";0
"Brachypterarisi";"Occurrence.Brachypterarisi";0.0809659090909091;0.0903328050713154;"species";0
"Sphaeriidae";"Occurrence.Sphaeriidae";0;0;"family";0
"Blephariceridae";"Occurrence.Blephariceridae";0.0355113636363636;0.0612745098039216;"family";0
"Odontocerumalbicorne";"Occurrence.Odontocerumalbicorne";0.191761363636364;0.205949656750572;"species";0
"Leuctranigra";"Occurrence.Leuctranigra";0.223721590909091;0.473684210526316;"species";0
"Tipulidae";"Occurrence.Tipulidae";0.0106534090909091;0.0106534090909091;"family";0
"Drususannulatus";"Occurrence.Drususannulatus";0.170454545454545;0.222222222222222;"species";0
"Dixidae";"Occurrence.Dixidae";0.155539772727273;0.19295154185022;"family";0
"Drususbiguttatus";"Occurrence.Drususbiguttatus";0.190340909090909;0.369146005509642;"species";0
"Metanoeaflavipennis";"Occurrence.Metanoeaflavipennis";0.200284090909091;0.388429752066116;"species";0
"Ecdyonurusvenosus";"Occurrence.Ecdyonurusvenosus";0.655539772727273;0.869934024505184;"species";0
"Habrophlebialauta";"Occurrence.Habrophlebialauta";0.000710227272727273;0.000975609756097561;"species";0
"Stratiomyidae";"Occurrence.Stratiomyidae";0.00852272727272727;0.00883002207505519;"family";0
"Potamophylaxcingulatus";"Occurrence.Potamophylaxcingulatus";0.486505681818182;0.555555555555556;"species";0
"Protonemuraintricata";"Occurrence.Protonemuraintricata";0.0880681818181818;0.175637393767705;"species";0
"Centroptilumluteolum";"Occurrence.Centroptilumluteolum";0.142045454545455;0.188501413760603;"species";0
"Hydropsychesiltalai";"Occurrence.Hydropsychesiltalai";0.3203125;0.369975389663659;"species";0
"Epeorusassimilis";"Occurrence.Epeorusassimilis";0;0;"species";0
"Baetislutheri";"Occurrence.Baetislutheri";0.600142045454545;0.905680600214362;"species";0
"Rhithrogenapicteti";"Occurrence.Rhithrogenapicteti";0.100142045454545;0.116721854304636;"species";0
"Dugesiidae";"Occurrence.Dugesiidae";0;0;"family";0
"Paraleptophlebiasubmarginata";"Occurrence.Paraleptophlebiasubmarginata";0.0632102272727273;0.0868292682926829;"species";0
"Dytiscidae";"Occurrence.Dytiscidae";0;0;"family";0
"Lymnaeidae";"Occurrence.Lymnaeidae";0.107954545454545;0.140740740740741;"family";0
"Habroleptoidesauberti";"Occurrence.Habroleptoidesauberti";0.0923295454545455;0.18413597733711;"species";0
"Isoperlagrammatica";"Occurrence.Isoperlagrammatica";0.302556818181818;0.415609756097561;"species";0
"Capnioneuranemuroides";"Occurrence.Capnioneuranemuroides";0.150568181818182;0.344155844155844;"species";0
"Melampophylaxmucoreus";"Occurrence.Melampophylaxmucoreus";0.154119318181818;0.257413997627521;"species";0
"Ecclisopteryxmadida";"Occurrence.Ecclisopteryxmadida";0.337357954545455;0.771103896103896;"species";0
"Nemouraflexuosa";"Occurrence.Nemouraflexuosa";0.291903409090909;0.509293680297398;"species";0
"Chaetopteryxvillosa";"Occurrence.Chaetopteryxvillosa";0.0490056818181818;0.105828220858896;"species";0
"Ephemeradanica";"Occurrence.Ephemeradanica";0;0;"species";0
"Erpobdellidae";"Occurrence.Erpobdellidae";0.100852272727273;0.4;"family";0
"Allogamusauricollis";"Occurrence.Allogamusauricollis";0.0355113636363636;0.304878048780488;"species";0
"Serratellaignita";"Occurrence.Serratellaignita";0.00426136363636364;0.166666666666667;"species";0
"Hydroptila";"Occurrence.Hydroptila";0;0;"genus";0
"Glossiphoniidae";"Occurrence.Glossiphoniidae";0;0;"family";0
"Ecdyonurustorrentis";"Occurrence.Ecdyonurustorrentis";0.105823863636364;0.419718309859155;"species";0
"Rhithrogenasemicolorata";"Occurrence.Rhithrogenasemicolorata";0.00284090909090909;0.111111111111111;"species";0
"Gyrinidae";"Occurrence.Gyrinidae";0;0;"family";0
"Caenismacrura";"Occurrence.Caenismacrura";0.00142045454545455;0.0555555555555556;"species";0
"Torleyamajor";"Occurrence.Torleyamajor";0.000710227272727273;0.0277777777777778;"species";0
"Psychomyiapusilla";"Occurrence.Psychomyiapusilla";0.00497159090909091;0.194444444444444;"species";0
"Hydropsycheincognita";"Occurrence.Hydropsycheincognita";0.0078125;0.305555555555556;"species";0
"Protonemurameyeri";"Occurrence.Protonemurameyeri";0.00284090909090909;0.111111111111111;"species";0
"Baetisvardarensis";"Occurrence.Baetisvardarensis";0.00639204545454545;0.25;"species";0
"Caenisluctuosa";"Occurrence.Caenisluctuosa";0.000710227272727273;0.0277777777777778;"species";0
"Hydropsycheangustipennis";"Occurrence.Hydropsycheangustipennis";0.0191761363636364;0.75;"species";0
"Gomphidae";"Occurrence.Gomphidae";0;0;"family";0
"Besdolusimhoffi";"Occurrence.Besdolusimhoffi";0;0;"species";0
"Cheumatopsychelepida";"Occurrence.Cheumatopsychelepida";0.00710227272727273;0.277777777777778;"species";0
"Micrasemasetiferum";"Occurrence.Micrasemasetiferum";0.00426136363636364;0.166666666666667;"species";0
"Nemouraavicularis";"Occurrence.Nemouraavicularis";0.0177556818181818;0.694444444444444;"species";0
"Ithytrichia";"Occurrence.Ithytrichia";0;0;"genus";0
"Leuctramajor";"Occurrence.Leuctramajor";0.0809659090909091;0.212290502793296;"species";0
"Philopotamusludificatus";"Occurrence.Philopotamusludificatus";0;0;"species";0
